id,loan_amnt,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,purpose,title,dti,earliest_cr_line,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,application_type,mort_acc,pub_rec_bankruptcies,address
11,6400, 36 months,10.15,206.97,B,B2,Embroidery Department Manager,< 1 year,RENT,24000.0,Not Verified,Oct-2014,credit_card,Credit card refinancing,21.0,Apr-2004,15,0,7997,72.0,22,w,INDIVIDUAL,0.0,0,"31625 Ann Rapids Suite 325
Ronaldshire, IL 22690"
12,30000, 36 months,13.99,1025.19,C,C4,Project Manager,10+ years,MORTGAGE,109000.0,Verified,Aug-2015,debt_consolidation,Debt consolidation,21.74,Oct-2001,15,0,23808,83.0,25,w,INDIVIDUAL,0.0,0,"931 Sabrina Trafficway Suite 506
Goodberg, AR 70466"
13,7650, 36 months,11.44,252.05,B,B4,Warehouse Manager,4 years,RENT,45000.0,Source Verified,Jan-2015,debt_consolidation,Debt consolidation,22.8,Jan-1998,8,1,12611,65.3,19,f,INDIVIDUAL,0.0,1,"3842 Jo Trace Apt. 965
Oscarland, MS 22690"
14,6000, 36 months,18.49,218.4,D,D2,Savage Wholesale Building Materials,10+ years,MORTGAGE,40000.0,Verified,May-2013,other,Auto repair/ auto purchase-Private party,22.83,Aug-2005,4,1,15596,96.3,10,w,INDIVIDUAL,3.0,1,"2347 Shannon Turnpike Suite 502
New Anthony, MI 30723"
15,20000, 36 months,9.99,645.25,B,B3,Manager,10+ years,RENT,66000.0,Not Verified,Jul-2015,debt_consolidation,Debt consolidation,33.13,Jun-1997,15,1,35967,54.4,21,w,INDIVIDUAL,0.0,0,"3727 Chapman Crossing
Bryantport, IL 86630"
16,3000, 36 months,18.75,109.59,D,D3,Caledonia schools,3 years,MORTGAGE,45000.0,Not Verified,May-2013,debt_consolidation,Debt consolidation,7.76,Sep-2005,11,0,2814,38.0,36,f,INDIVIDUAL,0.0,0,"Unit 6976 Box 1598
DPO AA 48052"
17,11000, 36 months,11.58,363.15,B,B3,ABM Industries,5 years,RENT,87000.0,Verified,Jul-2009,debt_consolidation,Debt Consolidation to Purchase Home,9.32,Mar-1999,6,0,19827,90.9,17,f,INDIVIDUAL,,0,"86212 Koch Shoals
Vincentton, WA 22690"
18,12250, 36 months,7.51,381.11,A,A4,lowes home improvement,7 years,OWN,28800.0,Verified,Aug-2010,debt_consolidation,cc dept,20.75,Jul-1978,16,0,26877,40.9,30,f,INDIVIDUAL,,0,"437 Curry View
Palmerstad, WA 48052"
19,12000, 36 months,6.62,368.45,A,A2,Project Manager,6 years,RENT,91000.0,Not Verified,Feb-2014,credit_card,Credit card refinancing,6.28,Sep-1999,8,0,10495,26.6,21,f,INDIVIDUAL,0.0,0,"943 Lisa Bridge Apt. 098
North Rachelberg, CA 48052"
20,10300, 60 months,18.55,264.65,D,D2,Driver,4 years,MORTGAGE,53000.0,Verified,Oct-2013,debt_consolidation,Freedom,7.31,Jan-1999,8,1,6692,42.1,24,w,INDIVIDUAL,1.0,1,"816 Hart Ferry
Bradyton, GA 00813"
21,21200, 60 months,21.48,579.28,E,E2,Director of Strategic Accounts,3 years,RENT,120000.0,Verified,Jan-2014,debt_consolidation,Debt consolidation,16.01,Jul-1984,9,1,6207,77.0,27,f,INDIVIDUAL,5.0,1,"56159 Julie Roads
West Kathryn, GA 30723"
22,24000, 60 months,15.99,583.51,D,D2,Manager,10+ years,MORTGAGE,89600.0,Verified,Jan-2015,debt_consolidation,Debt consolidation,21.64,Feb-1999,14,0,14669,50.2,25,w,INDIVIDUAL,2.0,0,"1781 Amy Pines Suite 367
Ashleyville, NJ 93700"
23,28100, 36 months,19.52,1037.44,E,E3,printer,10+ years,MORTGAGE,61165.0,Verified,Mar-2015,debt_consolidation,Debt consolidation,23.76,Oct-1988,10,0,14843,70.3,23,f,INDIVIDUAL,2.0,0,"650 Paul Trafficway
New Annetteland, MS 30723"
24,15000, 36 months,8.49,473.45,B,B1,,,MORTGAGE,73000.0,Source Verified,Jan-2016,debt_consolidation,Debt consolidation,9.34,Feb-1994,14,2,8973,24.8,21,f,INDIVIDUAL,3.0,0,"106 Johnson Run Apt. 666
Hillshire, VT 30723"
25,25000, 60 months,24.89,732.18,F,F4,lane tool,4 years,RENT,75000.0,Verified,Aug-2013,debt_consolidation,Debt Consolidation,25.09,Sep-2002,19,0,23276,54.4,35,f,INDIVIDUAL,2.0,0,"999 Hill Creek Apt. 454
New Ashleyville, NV 22690"
26,15000, 36 months,12.12,499.08,B,B3,sygma network,5 years,OWN,68000.0,Not Verified,Jan-2013,debt_consolidation,become debt free,20.15,Feb-2000,10,0,14213,83.6,17,f,INDIVIDUAL,0.0,0,"53402 Flores Road
Samanthaberg, CT 70466"
27,5000, 36 months,12.99,168.45,C,C1,Partner/Owner,10+ years,MORTGAGE,74100.0,Not Verified,Oct-2014,home_improvement,Home improvement,27.14,Jul-1993,18,0,29563,54.5,44,w,INDIVIDUAL,2.0,0,"89234 Morgan Stream
Katieshire, AK 00813"
28,10000, 36 months,13.67,340.18,B,B5,Registered Nurse,10+ years,MORTGAGE,125000.0,Not Verified,Oct-2013,debt_consolidation,Debt consolidation,14.27,Feb-1984,16,0,11169,43.8,31,f,INDIVIDUAL,5.0,0,"4726 Mckenzie Glen
Bryanhaven, MA 30723"
29,35000, 36 months,7.9,1095.16,A,A4,Key Information Systems,9 years,MORTGAGE,215000.0,Verified,Oct-2012,debt_consolidation,Debt Consolidation,21.4,Mar-1989,17,0,29839,34.0,38,f,INDIVIDUAL,7.0,0,"081 Lori Manors
Lake Cynthia, GA 70466"
30,8675, 36 months,9.17,276.55,B,B2,Graphic Designer,2 years,RENT,45000.0,Not Verified,May-2015,credit_card,Credit card refinancing,24.13,Jan-1999,12,0,8794,38.2,33,f,INDIVIDUAL,0.0,0,"8315 Nguyen Fords Suite 225
West Annaland, GA 22690"
31,18000, 60 months,11.99,400.31,B,B3,Associate Professor,9 years,MORTGAGE,83106.0,Verified,Jan-2014,debt_consolidation,Debt consolidation,19.21,Mar-1999,8,0,22783,59.6,37,f,INDIVIDUAL,3.0,0,"3398 Mccormick Neck
West Andrew, ID 70466"
32,30000, 60 months,9.99,637.27,B,B3,Supervisor ,10+ years,MORTGAGE,112000.0,Verified,May-2015,credit_card,Credit card refinancing,10.78,Apr-2002,12,0,37896,52.7,31,w,INDIVIDUAL,4.0,0,"418 Joseph Lake Suite 290
Reillyhaven, DE 48052"
33,7000, 36 months,9.99,225.84,B,B3,Survey Manager,1 year,MORTGAGE,105000.0,Not Verified,Apr-2015,debt_consolidation,Debt consolidation,7.73,Sep-2001,12,0,2608,15.8,19,w,INDIVIDUAL,2.0,0,"7474 Garcia Bridge Apt. 875
West Lindahaven, NY 30723"
34,16000, 60 months,22.99,450.96,F,F2,Program Support Assistance,< 1 year,MORTGAGE,60000.0,Source Verified,Oct-2015,home_improvement,Home improvement,4.57,Sep-2003,27,0,4355,30.7,66,w,INDIVIDUAL,3.0,0,"2113 Edward Row Suite 440
West Derrick, WV 70466"
35,9000, 36 months,12.69,301.91,C,C2,Nurse,8 years,MORTGAGE,60000.0,Source Verified,Mar-2015,debt_consolidation,Debt consolidation,16.04,Jan-2003,20,0,16323,74.5,44,f,INDIVIDUAL,2.0,0,"688 Shelton Creek
Johnsonhaven, WV 86630"
36,6600, 36 months,11.14,216.52,B,B2,Valliance Bank,2 years,RENT,40000.0,Not Verified,Aug-2012,credit_card,Refinance my credit card debt,18.79,Jun-2005,16,0,7275,42.3,26,f,INDIVIDUAL,0.0,0,"6123 Carrie Ports Suite 851
Jessicastad, PA 29597"
37,10750, 36 months,16.2,379.01,C,C4,Teacher,1 year,RENT,31000.0,Verified,Nov-2013,debt_consolidation,Debt consolidation,28.86,Oct-2005,5,0,4743,98.8,15,f,INDIVIDUAL,0.0,0,"4436 Fisher Estate
North Jason, MD 30723"
38,10000, 36 months,6.03,304.36,A,A1,Assistant Director,3 years,RENT,42000.0,Not Verified,Aug-2014,debt_consolidation,Debt consolidation,12.94,Sep-2006,18,0,4151,35.5,37,w,INDIVIDUAL,0.0,0,"5078 Eric Track
Ryanberg, PA 29597"
39,14000, 60 months,10.16,298.57,B,B1,Department of Defense,10+ years,MORTGAGE,82000.0,Verified,Feb-2013,debt_consolidation,Debt Consolidation,20.8,Feb-2001,14,0,11359,44.5,23,f,INDIVIDUAL,2.0,0,"0547 Jacqueline Trail Suite 889
West Joshua, HI 48052"
40,20000, 36 months,10.99,654.68,B,B2,Physician,8 years,MORTGAGE,240000.0,Verified,Dec-2013,credit_card,Credit Cards,7.59,May-1992,12,0,20226,60.9,24,f,INDIVIDUAL,2.0,0,"417 Tammy Valley Suite 857
Rachelberg, NC 30723"
41,16000, 36 months,9.71,514.1,B,B1,US Department of Homeland Security,10+ years,MORTGAGE,140000.0,Verified,Sep-2013,debt_consolidation,Debt consolidation,12.54,May-1992,11,0,21559,86.9,33,f,INDIVIDUAL,2.0,0,"573 Caitlyn Harbor Suite 599
Catherineshire, OK 05113"
42,7100, 36 months,8.9,225.45,A,A5,ColoSpace,< 1 year,MORTGAGE,120000.0,Source Verified,Oct-2011,debt_consolidation,Debt Consolidation Loan,13.57,Apr-1990,8,0,111638,82.2,17,f,INDIVIDUAL,,0,"395 Hamilton Point Suite 734
Taraland, MD 22690"
43,25000, 36 months,9.99,806.57,B,B3,Director,8 years,MORTGAGE,132500.0,Source Verified,Jun-2015,credit_card,Credit card refinancing,15.32,May-1998,22,0,33671,58.6,41,f,INDIVIDUAL,2.0,0,"528 Webb Villages Suite 117
South Lori, VA 70466"
44,5000, 36 months,11.99,166.05,B,B5,Stylist,4 years,RENT,25000.0,Source Verified,Dec-2014,debt_consolidation,Debt consolidation,23.67,Dec-2006,6,0,6313,51.3,8,f,INDIVIDUAL,0.0,0,"64895 Lewis Junctions
Howardshire, LA 29597"
45,6200, 36 months,6.03,188.71,A,A1,WV State Tax Department,5 years,MORTGAGE,26500.0,Not Verified,Dec-2011,small_business,Business Loan,18.2,Jun-2000,6,0,2982,16.0,18,f,INDIVIDUAL,,0,"60990 Hughes Haven Apt. 062
Lake Sarah, LA 05113"
46,10000, 36 months,11.14,328.06,B,B2,United States Postal Service,10+ years,MORTGAGE,67000.0,Verified,Mar-2013,credit_card,My Smart Move,23.86,Jun-1994,14,0,29565,76.8,36,f,INDIVIDUAL,6.0,0,"63237 Justin Roads Apt. 446
Schultzland, MO 30723"
47,35000, 60 months,18.84,904.85,E,E2,Customer service,10+ years,MORTGAGE,102000.0,Verified,May-2015,debt_consolidation,Debt consolidation,21.68,Nov-1990,15,0,49447,46.1,34,w,INDIVIDUAL,5.0,0,"3867 Charles Divide
North Natalieberg, KY 48052"
48,12825, 60 months,22.99,361.47,F,F1,Operation Support,1 year,MORTGAGE,30998.0,Source Verified,Jan-2015,home_improvement,Home improvement,22.8,Apr-2006,11,1,1746,17.5,15,f,INDIVIDUAL,1.0,1,"764 Hicks Views
East Michaelmouth, WA 70466"
49,14975, 36 months,14.16,512.98,C,C2,Legal Assistant,10+ years,MORTGAGE,75000.0,Verified,Mar-2014,debt_consolidation,Debt consolidation,9.42,Jan-1997,12,0,7819,58.8,29,w,INDIVIDUAL,1.0,0,"36566 Short Branch
Port Shawna, ID 70466"
50,35000, 60 months,11.53,770.27,B,B5,Facility Engineer,10+ years,MORTGAGE,116000.0,Verified,Aug-2015,debt_consolidation,Debt consolidation,31.75,Mar-1993,12,0,51182,46.0,28,w,INDIVIDUAL,6.0,0,"9543 Patricia Stream
South Deborah, OH 05113"
51,24000, 60 months,18.92,621.52,D,D4,Operations Manager,5 years,MORTGAGE,73000.0,Source Verified,Mar-2014,debt_consolidation,Debt consolidation,24.36,May-1999,8,0,15664,93.8,34,w,INDIVIDUAL,5.0,0,"891 Jonathan Trace Suite 974
South Larrymouth, LA 22690"
52,22250, 60 months,15.61,536.48,C,C3,Customer Service Rep,2 years,MORTGAGE,50000.0,Verified,Oct-2013,debt_consolidation,Debt consolidation,25.06,Nov-1981,17,0,20772,88.9,46,w,INDIVIDUAL,3.0,0,"43627 Lynch Trafficway
Tonyamouth, AL 00813"
53,12000, 36 months,12.12,399.26,B,B3,Phoenix Air Repair,2 years,MORTGAGE,51000.0,Verified,Jan-2013,credit_card,Consolidation Loan,31.53,Dec-1996,10,0,24767,80.4,33,f,INDIVIDUAL,4.0,0,"6653 Lee Stravenue
Lake William, OH 22690"
54,10000, 60 months,17.86,253.18,D,D5,Assistant Superintendent,< 1 year,RENT,50000.0,Source Verified,Aug-2015,debt_consolidation,Debt consolidation,18.8,Aug-2000,8,0,10182,88.5,20,w,INDIVIDUAL,0.0,0,"PSC 6311, Box 8564
APO AP 00813"
55,2400, 36 months,17.57,86.25,D,D4,Medical assistant ,5 years,RENT,40000.0,Not Verified,May-2015,debt_consolidation,Debt consolidation,37.53,Aug-2003,17,0,20379,43.9,25,w,INDIVIDUAL,0.0,0,"8663 Brown Rue
Rogerfurt, SD 22690"
56,8000, 36 months,7.26,247.97,A,A4,Accounts Receivable Specialist ,10+ years,MORTGAGE,50000.0,Not Verified,Sep-2015,credit_card,Credit card refinancing,37.06,Sep-2003,21,0,11821,21.9,25,w,INDIVIDUAL,0.0,0,"689 William Ville
East Jeffreyville, VA 70466"
57,15000, 36 months,13.67,510.27,B,B5,Director of Research,9 years,MORTGAGE,135000.0,Not Verified,Nov-2013,home_improvement,HomeLoan,8.37,Mar-1993,15,0,12558,52.8,41,f,INDIVIDUAL,2.0,0,"203 Wright Canyon
Nicholashaven, MT 05113"
58,15000, 36 months,11.83,497.01,B,B3,Social Security Administration,5 years,RENT,65000.0,Not Verified,Nov-2009,credit_card,Consolidating Credit Card Debt,13.79,Dec-1996,9,0,9941,45.4,26,f,INDIVIDUAL,,0,"PSC 0635, Box 9187
APO AE 29597"
59,14000, 36 months,13.99,478.42,C,C4,inside sales ,3 years,RENT,55000.0,Source Verified,Jul-2015,debt_consolidation,Debt consolidation,25.29,Jan-1995,8,0,7893,60.7,20,f,INDIVIDUAL,3.0,0,"573 Rhodes Wall
Davisbury, NC 22690"
60,6000, 36 months,7.9,187.75,A,A4,Howard & Howard Attorneys PLLC,1 year,MORTGAGE,160000.0,Source Verified,Feb-2012,debt_consolidation,2012 Debt Consolidation,7.3,Mar-2001,13,0,27747,59.7,44,f,INDIVIDUAL,,0,"58095 Anna Motorway
West Jonathan, GA 30723"
61,4000, 36 months,9.17,127.52,B,B1,Caregiver,5 years,RENT,22000.0,Not Verified,Oct-2014,credit_card,Credit card refinancing,4.75,Nov-2001,8,1,2911,59.4,25,f,INDIVIDUAL,0.0,1,"50123 Gonzalez River
East Mark, NC 48052"
62,12600, 36 months,9.99,406.51,B,B3,Sales,3 years,RENT,28885.0,Verified,Mar-2015,debt_consolidation,Debt consolidation,9.52,Dec-2009,11,0,11037,33.9,16,f,INDIVIDUAL,0.0,0,"6293 Robert Flat Apt. 822
Cassandrafort, MS 22690"
63,4400, 36 months,14.33,151.09,C,C1,graduety club,5 years,MORTGAGE,49500.0,Not Verified,Sep-2012,debt_consolidation,consaladation of credit cards,15.35,Jun-1995,14,0,2476,13.1,37,f,INDIVIDUAL,1.0,0,"0651 Jonathan Centers Suite 727
New Austinmouth, AK 00813"
64,20000, 36 months,16.29,706.01,C,C4,U.S. Government,9 years,MORTGAGE,120000.0,Verified,Apr-2013,debt_consolidation, Loan,17.8,Aug-1992,13,0,23400,68.6,51,f,INDIVIDUAL,7.0,0,"0096 Crystal Vista
Port Andrewberg, HI 29597"
65,15000, 36 months,6.91,462.54,A,A5,Kitchen Cafe ,< 1 year,RENT,40000.0,Source Verified,Dec-2010,debt_consolidation,Debt consolidation,24.51,Sep-2002,13,0,8865,25.8,27,f,INDIVIDUAL,,0,"231 Carlson Light
Johnside, ID 70466"
66,25000, 60 months,19.52,655.69,E,E3,Project Manager 3,5 years,RENT,115000.0,Source Verified,Apr-2015,debt_consolidation,Debt consolidation,15.92,Sep-2001,19,0,28786,76.4,47,w,INDIVIDUAL,1.0,0,"13809 Phillips Plain Suite 537
Leachton, PA 29597"
67,6000, 36 months,7.49,186.61,A,A4,glazier,3 years,RENT,59000.0,Source Verified,Jan-2016,credit_card,Credit card refinancing,20.38,Oct-2005,8,0,5574,24.8,15,w,INDIVIDUAL,1.0,0,"9117 John Viaduct Apt. 510
Mcclurebury, MD 05113"
68,8975, 36 months,19.52,331.36,E,E2,,,OWN,20000.0,Not Verified,Oct-2014,debt_consolidation,Debt consolidation,27.19,Feb-2004,12,0,7051,34.4,21,f,INDIVIDUAL,0.0,0,"31757 Ramirez Islands
Patelfort, MI 86630"
69,8625, 36 months,18.99,316.12,D,D4,Dispatcher,3 years,RENT,24000.0,Source Verified,Apr-2016,debt_consolidation,Debt consolidation,46.0,Nov-2007,7,0,6251,65.8,23,f,DIRECT_PAY,0.0,0,"488 Christopher Mountain
Ariasburgh, VT 48052"
70,14000, 60 months,16.77,346.21,D,D2,Alexander Kalifano,4 years,MORTGAGE,65000.0,Not Verified,Oct-2011,debt_consolidation,Debt Freedom,20.42,Apr-1993,8,0,13214,81.1,27,f,INDIVIDUAL,,0,"6220 Christopher Field Suite 001
West Kevinborough, MI 48052"
71,4800, 36 months,11.53,158.36,B,B5,Analyst,8 years,MORTGAGE,81888.0,Source Verified,Mar-2015,debt_consolidation,Debt consolidation,27.51,Aug-1988,10,0,26762,79.6,20,f,INDIVIDUAL,1.0,0,"224 Jacob Fork Suite 313
Tuckerside, DC 70466"
72,10000, 36 months,6.03,304.36,A,A1,,10+ years,OWN,36000.0,Verified,Sep-2013,home_improvement,Windows and Door,5.28,Aug-1996,3,0,4930,10.1,7,w,INDIVIDUAL,1.0,0,"1320 Wendy Well Apt. 424
Bakerhaven, WI 00813"
73,18000, 36 months,14.98,623.8,C,C3,Secretary,5 years,RENT,80000.0,Not Verified,Dec-2013,debt_consolidation,Fresh Start,19.17,Apr-2001,10,0,16182,91.9,17,f,INDIVIDUAL,0.0,0,"593 Chung River
Martinview, DC 70466"
74,3600, 36 months,15.88,126.36,C,C4,Pfizer,10+ years,MORTGAGE,133000.0,Not Verified,Jul-2013,vacation,Vacation Loan,16.21,Jul-1996,10,0,7097,66.3,47,w,INDIVIDUAL,5.0,0,"94626 Bradley Wall Suite 267
East Marissa, OR 48052"
75,3125, 36 months,13.99,106.79,C,C1,Coney Island Hospital,4 years,OWN,80000.0,Not Verified,Jun-2012,home_improvement,Home Improvement,10.18,Oct-2007,7,0,6629,85.0,14,f,INDIVIDUAL,0.0,0,"00475 Hubbard Inlet Suite 049
East Eugeneberg, NV 05113"
76,2850, 36 months,15.8,99.92,C,C3,Whalen Tire Missoula,2 years,RENT,35000.0,Not Verified,Oct-2012,debt_consolidation,credit cards,20.57,Apr-2002,10,0,6694,72.8,16,f,INDIVIDUAL,0.0,0,"786 Jose Stravenue Apt. 374
Mathisville, SD 30723"
77,2200, 36 months,19.24,80.92,E,E2,Management Assistant,3 years,MORTGAGE,47498.0,Verified,Dec-2014,vacation,Vacation,32.64,Feb-2009,12,0,12878,65.4,22,f,INDIVIDUAL,1.0,0,"0908 Cannon Extensions
Rosehaven, NV 48052"
78,5000, 36 months,8.49,157.82,A,A5,SHoP Construction,< 1 year,RENT,88000.0,Not Verified,Jun-2011,wedding,Wedding Loan,5.95,Dec-2001,11,0,3711,18.2,20,f,INDIVIDUAL,,0,"167 Victoria Harbors
Baxterborough, ME 30723"
79,6000, 36 months,7.62,186.97,A,A3,New York Presbyterian Hospital,1 year,RENT,81000.0,Not Verified,Feb-2013,credit_card,Credit Card,4.67,Apr-1989,5,0,8069,64.6,9,f,INDIVIDUAL,0.0,0,"356 Craig Squares
Skinnerville, ND 70466"
80,6000, 36 months,13.49,203.59,C,C2,OFFICE MANAGER,10+ years,MORTGAGE,40000.0,Not Verified,Aug-2016,credit_card,Credit card refinancing,12.06,Sep-2004,15,1,5890,21.0,17,f,INDIVIDUAL,1.0,1,"6970 Lynn Forge
New Daniel, OH 22690"
81,7000, 36 months,14.33,240.37,C,C1,Motorwerks BMW,3 years,MORTGAGE,130000.0,Not Verified,Jan-2013,debt_consolidation,Consolodebt,9.57,Apr-2006,9,0,1361,29.0,26,f,INDIVIDUAL,1.0,0,"PSC 1087, Box 3084
APO AA 70466"
82,21000, 60 months,15.61,506.34,C,C5,Marketing Manager ,< 1 year,MORTGAGE,70000.0,Not Verified,Apr-2014,debt_consolidation,Debt consolidation,23.3,Feb-1998,8,0,16460,96.8,19,f,INDIVIDUAL,5.0,0,"5598 Powell Centers Suite 588
Boothview, PA 05113"
83,13000, 60 months,18.24,331.82,D,D5,Registered Nurse,10+ years,OWN,82000.0,Source Verified,Jun-2014,debt_consolidation,Debt consolidation,18.29,Dec-1984,12,0,20040,89.5,35,w,INDIVIDUAL,0.0,0,"738 Foster Avenue Suite 461
Clarkefurt, WA 05113"
84,21000, 36 months,7.99,657.97,A,A4,Director,7 years,MORTGAGE,215000.0,Verified,Jul-2016,debt_consolidation,Debt consolidation,20.19,Sep-1992,12,0,59142,74.7,30,w,INDIVIDUAL,4.0,0,"359 Sanchez Rapid Suite 669
Williamsport, AZ 00813"
85,11200, 36 months,6.62,343.89,A,A2,Veterans service rep.,6 years,MORTGAGE,108000.0,Source Verified,Jan-2014,credit_card,Credit card refinancing,26.12,May-1984,29,0,21855,34.9,58,w,INDIVIDUAL,5.0,0,"9961 Corey Turnpike
Carterburgh, KS 22690"
86,7000, 36 months,14.64,241.43,C,C3,Nurse,1 year,MORTGAGE,60000.0,Source Verified,Mar-2014,home_improvement,Home improvement,33.48,Jun-1991,8,0,14370,69.1,18,f,INDIVIDUAL,2.0,0,"005 Mccann Divide
New Nicole, PA 30723"
87,13200, 36 months,7.26,409.15,A,A4,Teacher,2 years,RENT,45000.0,Not Verified,Jun-2015,credit_card,Credit card refinancing,28.67,Dec-1996,15,0,18187,68.9,32,w,INDIVIDUAL,0.0,0,"3348 Joshua Crossing
Andrebury, MI 70466"
88,3000, 60 months,7.88,60.66,A,A5,access general insurance,< 1 year,RENT,32400.0,Verified,Jul-2010,home_improvement,funiture,14.52,Oct-1999,6,0,3135,29.0,10,f,INDIVIDUAL,,0,"50444 Martinez Skyway Apt. 052
Lake Peterbury, DC 05113"
89,10400, 36 months,12.99,350.37,B,B5,FRAB Accounting Officer,2 years,RENT,60000.0,Not Verified,May-2014,debt_consolidation,Debt consolidation,27.83,Jul-1994,14,0,27561,64.5,22,f,INDIVIDUAL,0.0,0,"16435 Joshua Flat
South Terri, MI 22690"
90,29175, 60 months,15.31,698.83,C,C2,TruGreen,7 years,MORTGAGE,145000.0,Verified,Jun-2013,credit_card,Credit Card consolidation,15.91,Nov-1999,14,0,12154,54.8,32,w,INDIVIDUAL,4.0,0,"00292 Susan Loaf
Stephanieshire, UT 48052"
91,24575, 60 months,17.27,614.33,C,C5,P&J GRADING,1 year,MORTGAGE,56000.0,Verified,Jan-2013,debt_consolidation,Debt consolidation,12.86,Sep-2001,5,0,8219,91.3,15,f,INDIVIDUAL,2.0,0,"75173 Jennifer Dam
New Lisa, NM 86630"
92,11000, 36 months,15.61,384.62,D,D1,Manager,9 years,MORTGAGE,85000.0,Source Verified,Oct-2015,debt_consolidation,Debt consolidation,15.85,Jun-1996,10,1,13381,48.5,16,f,INDIVIDUAL,1.0,0,"7969 Matthew River
Melendezhaven, TN 48052"
93,9000, 36 months,14.47,309.66,C,C2,brake and alignment tech,7 years,MORTGAGE,55000.0,Source Verified,Dec-2013,debt_consolidation,debt consolidation,26.6,Mar-1990,13,0,16232,85.0,36,f,INDIVIDUAL,6.0,0,"52542 Debbie Stravenue Apt. 775
South Theresa, IL 70466"
94,30000, 60 months,12.99,682.44,C,C2,Assistant Principal,10+ years,MORTGAGE,85000.0,Source Verified,Jun-2016,home_improvement,Home improvement,11.23,Jul-2005,16,0,4477,21.5,30,f,INDIVIDUAL,5.0,0,"62251 Yates Tunnel
Jamesmouth, TX 70466"
95,14975, 60 months,19.52,392.76,E,E2,driver,10+ years,MORTGAGE,50000.0,Verified,Oct-2014,debt_consolidation,Debt consolidation,15.48,Apr-2001,7,0,5305,82.9,23,w,INDIVIDUAL,2.0,0,"63394 Morgan Burgs Apt. 337
Simmonsmouth, NE 11650"
